title,company_name,location,site,job_url,experience_range,key_skills,match_score,why_this_job_fits,missing_skills,resume_alignment_level,is_remote,work_from_home_type
"Technical Operations Engineer, Corporate Internet of Things",Google,"Hyderabad, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4310958251,2+ years,"incident, linux, log",44,"Primary skills: incident, linux, log; ServiceNow/ITIL/incident; Experience: 2+ years","sftp, servicenow, itil",Stretch Role,True,Remote
Senior Application Support Specialist,DHL,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4326717786,,"api, aws, incident, itil, log, servicenow",85,"Primary skills: aws, incident, itil, log, servicenow; Secondary skills: api; On-call / shift work; Cloud: AWS; ServiceNow/ITIL/incident","linux, sftp",Strong Match,True,Hybrid
IT Support Specialist,Veradigm®,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4349730124,2-4 years,"alert, incident, itil, linux, log, monitor",75,"Primary skills: alert, incident, itil, linux, log, monitor; On-call / shift work; ServiceNow/ITIL/incident; Experience: 2-4 years","sftp, servicenow",Strong Match,True,Hybrid
Program Manager - ServiceNow,Blue Yonder,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4343086838,15+ years,"itil, log, servicenow",44,"Primary skills: itil, log, servicenow; ServiceNow/ITIL/incident; Experience: 15+ years","linux, sftp",Stretch Role,False,
Sr. IT Engineer - Application Support,Maximus,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4308697504,5+ years,"api, devops, java, log, monitor, monitoring, rest, servicenow, sla",83,"Primary skills: log, monitor, monitoring, servicenow, sla; Secondary skills: api, devops, java, rest; ServiceNow/ITIL/incident; Experience: 5+ years","linux, sftp, itil",Strong Match,False,
Associate Application Support Engineer,ACA Group,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4309583700,,"api, aws, incident, log, monitor, monitoring, rest",83,"Primary skills: aws, incident, log, monitor, monitoring; Secondary skills: api, rest; Cloud: AWS; ServiceNow/ITIL/incident","linux, sftp, servicenow, itil",Strong Match,False,
"Manager, Application Engineering",Appian,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4319579672,5+ years,"api, aws, log",34,"Primary skills: aws, log; Secondary skills: api; Cloud: AWS; Experience: 5+ years","linux, sftp, servicenow, itil",Stretch Role,False,
Project Manager,Gorisco Group,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4326616540,,"log, monitor, servicenow",44,"Primary skills: log, monitor, servicenow; ServiceNow/ITIL/incident","linux, sftp, itil",Stretch Role,False,
IT Support Engineer,SBS,"Noida, Uttar Pradesh, India",linkedin,https://www.linkedin.com/jobs/view/4326553171,08-12 years,log,12,Primary skills: log; Experience: 08-12 years,"linux, sftp, servicenow, itil",Ignore,False,
IT Support Services Analyst,Clarivate,"Karnataka, India, worldwide",linkedin,https://www.linkedin.com/jobs/view/4343112168,1+ years,"aws, incident, log",62,"Primary skills: aws, incident, log; On-call / shift work; Cloud: AWS; ServiceNow/ITIL/incident; Support/production oriented; Experience: 1+ years","linux, sftp, servicenow, itil",Good Match,False,
Project Manager - Cloud - ServiceNow,Blue Yonder,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4342928570,10+ years,monitor,12,Primary skills: monitor; Experience: 10+ years,"linux, sftp, servicenow, itil",Ignore,False,
Application Support - L1 Non SAP,Reliance Retail,"Navi Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4274637908,,"incident, log, monitor, sla",62,"Primary skills: incident, log, monitor, sla; ServiceNow/ITIL/incident; Support/production oriented","linux, sftp, servicenow, itil",Good Match,False,
IT Support Specialist,Primoris Systems LLC,"Hyderabad, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4261140334,,"incident, servicenow",45,"Primary skills: incident, servicenow; On-call / shift work; ServiceNow/ITIL/incident; Support/production oriented","linux, sftp, itil",Good Match,False,
IT Support Specialist,Hillenbrand,"Coimbatore, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4322888228,3-5 years,"incident, log, monitor, monitoring",56,"Primary skills: incident, log, monitor, monitoring; ServiceNow/ITIL/incident; Experience: 3-5 years","linux, sftp, servicenow, itil",Good Match,False,
Application Support Specialist,ACL Digital,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4326363489,,"alert, incident, linux, monitor, monitoring, sla",81,"Primary skills: alert, incident, linux, monitor, monitoring, sla; On-call / shift work; ServiceNow/ITIL/incident; Support/production oriented","sftp, servicenow, itil",Strong Match,False,
Desktop Support Engineer,Puma Energy,worldwide,linkedin,https://www.linkedin.com/jobs/view/4326530885,2-3 years,"azure, incident, log, monitor, monitoring, sla",79,"Primary skills: azure, incident, log, monitor, monitoring, sla; Cloud: Azure; ServiceNow/ITIL/incident; Support/production oriented; Experience: 2-3 years","linux, sftp, servicenow, itil",Strong Match,True,Remote
Senior Staff Engineer (Delivery ITIL),Nagarro,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4323131454,5+ years,"aws, azure, devops, grafana, log, monitor, monitoring, prometheus, servicenow",97,"Primary skills: aws, azure, log, monitor, monitoring, servicenow; Secondary skills: devops, grafana, prometheus; Cloud: Azure, AWS, GCP; ServiceNow/ITIL/incident; CI/CD; Experience: 5+ years","linux, sftp, itil",Strong Match,False,
Senior Manager,EXL,"Noida, Uttar Pradesh, India",linkedin,https://www.linkedin.com/jobs/view/4336693707,5-8 years,"alert, api, incident, java, log, rest, servicenow",0,,,Ignore,False,
ITSM Consultant – ITSM Fresh Service -  Configuration & Development,ITC Infotech,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4326198175,6+ years,"api, azure, incident, itil, log, monitor, monitoring, rest, servicenow, sla",83,"Primary skills: azure, incident, itil, log, monitor, monitoring, servicenow, sla; Secondary skills: api, rest; Cloud: Azure; ServiceNow/ITIL/incident; Experience: 6+ years","linux, sftp",Strong Match,False,Hybrid
Manager,EXL,"Gurugram, Haryana, India",linkedin,https://www.linkedin.com/jobs/view/4334398294,5-7 years,"aws, azure, log, monitor, monitoring, servicenow",78,"Primary skills: aws, azure, log, monitor, monitoring, servicenow; Cloud: Azure, AWS; ServiceNow/ITIL/incident; Experience: 5-7 years","linux, sftp, itil",Strong Match,False,Hybrid
End User Support L2,NTT DATA North America,"Bengaluru East, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4342583331,2-4 years,"incident, itil, linux, log, servicenow, shell, sla",74,"Primary skills: incident, itil, linux, log, servicenow, shell, sla; ServiceNow/ITIL/incident; Support/production oriented; Experience: 2-4 years",sftp,Strong Match,True,Hybrid
ServiceNow Lead,Jade Global,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4348971726,8+ years,"java, log, rest, servicenow, sla",0,,,Ignore,False,Hybrid
239938-Senior Manager,EXL,"Noida, Uttar Pradesh, India",linkedin,https://www.linkedin.com/jobs/view/4313643389,12+ years,"itil, servicenow",32,"Primary skills: itil, servicenow; ServiceNow/ITIL/incident; Experience: 12+ years","linux, sftp",Stretch Role,False,
Support Engineer,Tradelab Technologies,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4348870117,2+ years,"api, incident, linux, log, log analysis, monitor, rest",78,"Primary skills: incident, linux, log, log analysis, monitor; Secondary skills: api, rest; ServiceNow/ITIL/incident; Experience: 2+ years","sftp, servicenow, itil",Strong Match,False,
Technical Lead-Cloud & Infra Engg,Birlasoft,"Hyderabad, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4289007013,170+ years,"log, monitor, monitoring",36,"Primary skills: log, monitor, monitoring; Experience: 170+ years","linux, sftp, servicenow, itil",Stretch Role,False,
App Support Analyst I,Cognizant,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4208473373,,incident,26,Primary skills: incident; ServiceNow/ITIL/incident; Support/production oriented,"linux, sftp, servicenow, itil",Stretch Role,False,
IT Support Professional,IBM,"Bengaluru East, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4348624199,2+ years,linux,18,Primary skills: linux; Support/production oriented; Experience: 2+ years,"sftp, servicenow, itil",Ignore,True,Remote
Information Technology Service Desk,HCLTech,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4342326375,1+ years,"incident, itil, linux, log, monitor, monitoring, servicenow, sla",74,"Primary skills: incident, itil, linux, log, monitor, monitoring, servicenow, sla; ServiceNow/ITIL/incident; Support/production oriented; Experience: 1+ years",sftp,Strong Match,True,Remote
ServiceNow Architect,Sonata Software,"Bangalore Urban, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4325916176,12+ years,"api, devops, java, log, rest, servicenow",0,,,Ignore,False,
Application Support Engineer,QualityKiosk Technologies,"Chennai, Tamil Nadu, India",linkedin,https://www.linkedin.com/jobs/view/4348367434,1+ years,"alert, grafana, incident, itil, log, monitor, monitoring, observability, prometheus, servicenow",83,"Primary skills: alert, incident, itil, log, monitor, monitoring, servicenow; Secondary skills: grafana, observability, prometheus; ServiceNow/ITIL/incident; Experience: 1+ years","linux, sftp",Strong Match,False,
Senior Product Manager,Experian,"Hyderabad, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4335745871,7+ years,"api, aws, azure, devops, incident, log, rest, servicenow",100,"Primary skills: aws, azure, incident, log, servicenow; Secondary skills: api, devops, rest; On-call / shift work; Cloud: Azure, AWS; ServiceNow/ITIL/incident; Experience: 7+ years","linux, sftp, itil",Strong Match,False,
Incident Coordinator-L2,TECEZE,"Hyderabad, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4325697691,,"incident, itil, log, monitor, rest, servicenow, sla",80,"Primary skills: incident, itil, log, monitor, servicenow, sla; Secondary skills: rest; On-call / shift work; ServiceNow/ITIL/incident","linux, sftp",Strong Match,False,
Assistant Manager | Application Support Engineer,Macquarie Group,"Gurugram, Haryana, India",linkedin,https://www.linkedin.com/jobs/view/4340490222,56+ years,"bash, devops, incident, itil, linux, log, python, shell",73,"Primary skills: bash, incident, itil, linux, log, python, shell; Secondary skills: devops; ServiceNow/ITIL/incident; Experience: 56+ years","sftp, servicenow",Strong Match,True,Hybrid
Application Support Engineer – Ticket Management (0–6 Months Experience),Opkey,"Noida, Uttar Pradesh, India",linkedin,https://www.linkedin.com/jobs/view/4325542215,,"devops, itil, log, monitor, sla",68,"Primary skills: itil, log, monitor, sla; Secondary skills: devops; On-call / shift work; ServiceNow/ITIL/incident","linux, sftp, servicenow",Good Match,False,
IT Support Specialist I (UK Shift),Coursera,worldwide,linkedin,https://www.linkedin.com/jobs/view/4322543023,2+ years,"log, rest, servicenow, sla",55,"Primary skills: log, servicenow, sla; Secondary skills: rest; ServiceNow/ITIL/incident; Support/production oriented; Experience: 2+ years","linux, sftp, itil",Good Match,False,
ServiceNow Administrator/Analyst,Illumina,worldwide,linkedin,https://www.linkedin.com/jobs/view/4341289356,3+ years,"aws, itil, log, rest, servicenow, sla",85,"Primary skills: aws, itil, log, servicenow, sla; Secondary skills: rest; On-call / shift work; Cloud: AWS; ServiceNow/ITIL/incident; Experience: 3+ years","linux, sftp",Strong Match,False,
Technical Support Engineer ( EST shift hours 5:30PM - 2:30AM IST),Glean,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4218075878,,"alert, api, aws, azure, linux, log, rest, servicenow",88,"Primary skills: alert, aws, azure, linux, log, servicenow; Secondary skills: api, rest; Cloud: Azure, AWS, GCP; ServiceNow/ITIL/incident","sftp, itil",Strong Match,False,
Application Support Manager,PwC,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4325373603,7+ years,"azure, itil, log, monitor, monitoring",77,"Primary skills: azure, itil, log, monitor, monitoring; Cloud: Azure; ServiceNow/ITIL/incident; CI/CD; Experience: 7+ years","linux, sftp, servicenow",Strong Match,False,
Application Support Engineer (Mumbai),Susquehanna International Group,worldwide,linkedin,https://www.linkedin.com/jobs/view/4132681279,5+ years,"linux, log, monitor, monitoring, python, shell",60,"Primary skills: linux, log, monitor, monitoring, python, shell; Experience: 5+ years","sftp, servicenow, itil",Good Match,False,
L2 Systems Administration/ Application Support,Kyndryl India,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4325379257,8+ years,"alert, api, bash, grafana, incident, itil, linux, log, log analysis, monitor, monitoring, python, shell, sla",78,"Primary skills: alert, bash, incident, itil, linux, log, log analysis, monitor, monitoring, python, shell, sla; Secondary skills: api, grafana; ServiceNow/ITIL/incident; Experience: 8+ years","sftp, servicenow",Strong Match,False,
Cloud Support Engineer,Sikich India,"Hyderabad, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4348051634,,"azure, log, sla",48,"Primary skills: azure, log, sla; On-call / shift work; Cloud: Azure","linux, sftp, servicenow, itil",Good Match,False,
Analyst III [T500-21216],lululemon,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4340721220,3-5 years,"api, aws, devops, incident, itil, log, rest, servicenow, sla",92,"Primary skills: aws, incident, itil, log, servicenow, sla; Secondary skills: api, devops, rest; Cloud: AWS; ServiceNow/ITIL/incident; CI/CD; Experience: 3-5 years","linux, sftp",Strong Match,False,
L2 Application Support,Persistent Systems,"Pune, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4347897091,5-9 years,"incident, itil, log",51,"Primary skills: incident, itil, log; On-call / shift work; ServiceNow/ITIL/incident; Experience: 5-9 years","linux, sftp, servicenow",Good Match,False,Hybrid
Snapmint - IT Support Executive,Snapmint,"Jaipur, Rajasthan, India",linkedin,https://www.linkedin.com/jobs/view/4339853999,2-4 years,"incident, itil, linux, log, monitor, servicenow",68,"Primary skills: incident, itil, linux, log, monitor, servicenow; ServiceNow/ITIL/incident; Experience: 2-4 years",sftp,Good Match,False,
Operations Manager,Tata Consultancy Services,"Dimapur, Nagaland, India",linkedin,https://www.linkedin.com/jobs/view/4325002261,,"log, monitor, monitoring",36,"Primary skills: log, monitor, monitoring","linux, sftp, servicenow, itil",Stretch Role,False,
Head of Digital Transformation & Application Support,WAISL Limited,"Delhi, India, worldwide",linkedin,https://www.linkedin.com/jobs/view/4339430101,18+ years,log,12,Primary skills: log; Experience: 18+ years,"linux, sftp, servicenow, itil",Ignore,False,
IT – System Administrator (Azure Cloud & Infrastructure),"Systel, Inc.","Navi Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4348100698,5-12 years,"azure, devops, incident, log, monitor, monitoring, shell",78,"Primary skills: azure, incident, log, monitor, monitoring, shell; Secondary skills: devops; Cloud: Azure; ServiceNow/ITIL/incident; Experience: 5-12 years","linux, sftp, servicenow, itil",Strong Match,False,Hybrid
Support Engineer (CRM),atQor,"Mumbai, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4348022247,,"monitor, servicenow",38,"Primary skills: monitor, servicenow; ServiceNow/ITIL/incident; Support/production oriented","linux, sftp, itil",Stretch Role,False,
Sr Manager Tech Support,Standard Chartered India,"Bengaluru East, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4324648094,170+ years,"aws, incident, itil, linux, log, monitor, monitoring, servicenow, shell, sla",80,"Primary skills: aws, incident, itil, linux, log, monitor, monitoring, servicenow, shell, sla; On-call / shift work; Cloud: AWS; ServiceNow/ITIL/incident; Experience: 170+ years",sftp,Strong Match,False,
Application Support Engineer,NEC Software Solutions,worldwide,linkedin,https://www.linkedin.com/jobs/view/4324547178,30+ years,"incident, linux, log, sla",63,"Primary skills: incident, linux, log, sla; On-call / shift work; ServiceNow/ITIL/incident; Experience: 30+ years","sftp, servicenow, itil",Good Match,False,
